Index (),ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED (),N_RAD,BESCHLEUNIGUNG,LEISTUNG,DREHMOMENT
16,5,922.5,0,18.82353,35.294117,80,-0.78125,0,35,60.392159,51.372547,16.078432,31.764706,18.82353,0,100,0,47,7,67.400002,63.300003,13.613,0,0,8260,0,255,0,0,0,0
17,5,922.5,0,18.82353,35.294117,80,-0.78125,0,35,60.392159,51.372547,16.078432,31.764706,18.82353,0,100,0,47,7,67.400002,63.300003,13.613,0,0,8260,0,255,0,0,0,0
18,5,922.5,0,18.82353,35.294117,80,-0.78125,0,35,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,47,7,69.699997,63.300003,13.808,0,0,8260,0,255,0,0,0,0
19,5,922.5,0,18.82353,35.686275,79,-0.78125,0,35,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,47,7,69.699997,63.300003,13.808,0,0,8260,0,255,0,0,0,0
20,7,851.5,0,18.82353,35.686275,79,-0.78125,0,35,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,7,69.699997,63.300003,13.808,0,0,8260,0,255,0,0,0,0
21,7,851.5,0,18.82353,35.686275,79,-0.78125,0,35,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,7,74.900002,63.300003,13.769,0,0,8260,0,255,0,0,0,0
22,7,851.5,0,18.82353,35.686275,79,-0.78125,0,35,60.392159,50.588234,16.078432,31.764706,18.82353,0,100,0,48,7,74.900002,63.300003,13.769,0,0,8260,0,255,0,0,0,0
23,7,835.75,0,18.82353,36.470589,79,-0.78125,0,36,60.392159,50.588234,16.078432,31.764706,18.82353,0,100,0,48,4,74.900002,63.300003,13.769,0,0,8260,0,255,0,0,0,0
24,9,835.75,0,18.82353,36.470589,79,-0.78125,0,36,60.392159,50.588234,16.078432,31.764706,18.82353,0,100,0,48,4,74.900002,63.300003,13.769,0,0,8260,0,255,0,0,0,0
25,9,835.75,0,18.82353,36.470589,79,-0.78125,0,36,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,4,80.699997,63.300003,13.75,0,0,8260,0,255,0,0,0,0
26,9,835.75,0,18.82353,36.470589,79,-0.78125,0,36,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,4,80.699997,63.300003,13.75,0,0,8260,0,255,0,0,0,0
27,11,831.25,0,18.82353,37.254902,80,-0.78125,0,37,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,1,80.699997,63.300003,13.75,0,0,8260,0,255,0,0,0,0
28,11,831.25,0,18.82353,37.254902,80,-0.78125,0,37,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,1,80.699997,63.300003,13.75,0,0,8260,0,255,0,0,0,0
29,11,831.25,0,18.82353,37.254902,80,-0.78125,0,37,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,1,87.099998,63.300003,13.75,0,0,8260,0,255,0,0,0,0
30,11,831.25,0,18.82353,37.64706,80,-0.78125,-1.5625,37,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,1,87.099998,63.300003,13.75,0,0,8260,0,255,0,0,0,0
31,12,837.5,0,18.82353,37.64706,80,-0.78125,-1.5625,37,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,0,87.099998,63.300003,13.75,0,0,8260,0,255,0,0,0,0
32,12,837.5,0,18.82353,37.64706,80,-0.78125,-1.5625,37,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,0,90.399994,63.300003,13.339,0,0,8260,0,255,0,0,0,0
33,12,837.5,0,18.82353,37.64706,80,-0.78125,-1.5625,37,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,0,90.399994,63.300003,13.339,0,0,8260,0,255,0,0,0,0
34,12,633.5,0,19.215687,48.235294,80,-2.34375,-1.5625,49,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,7,90.399994,63.300003,13.339,0,0,8260,0,255,0,0,0,0
35,14,633.5,0,19.215687,48.235294,80,-2.34375,-1.5625,49,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,7,90.399994,63.300003,13.339,0,0,8260,0,255,0,0,0,0
36,14,633.5,0,19.215687,48.235294,80,-2.34375,-1.5625,49,60.392159,51.372547,16.078432,31.764706,19.215687,0,100,0,48,7,97.300003,63.400002,13.808,0,0,8260,0,255,0,0,0,0
37,14,633.5,0,19.215687,48.235294,80,-2.34375,-1.5625,49,60.392159,51.372547,16.078432,31.764706,19.215687,0,100,0,48,7,97.300003,63.400002,13.808,0,0,8260,0,255,0,0,0,0
38,14,624,0,19.215687,51.372547,81,-1.5625,1.5625,54,60.392159,51.372547,16.078432,31.764706,19.215687,0,100,0,48,7,97.300003,63.400002,13.808,0,0,8260,0,255,0,0,0,0
39,16,624,0,19.215687,51.372547,81,-1.5625,1.5625,54,59.607841,51.372547,16.078432,31.764706,19.215687,0,100,0,48,7,97.300003,63.400002,13.808,0,0,8260,0,255,0,0,0,0
40,16,624,0,19.215687,51.372547,81,-1.5625,1.5625,54,59.607841,51.372547,16.078432,31.764706,19.215687,0,100,0,48,7,104.800003,63.5,13.789,0,0,8260,0,255,0,0,0,0
41,16,624,0,19.215687,46.666668,81,-2.34375,0,54,59.607841,51.372547,16.078432,31.764706,19.215687,0,100,0,48,7,104.800003,63.5,13.789,0,0,8260,0,255,0,1.38888888888889,0,0
42,18,906.25,5,20.784313,46.666668,81,-2.34375,0,52,59.607841,51.372547,16.078432,31.764706,19.215687,0,100,0,48,4,104.800003,63.5,13.789,0,0,8260,0,255,0.758314003677794,0,173.133596863212,1.82446990349646
43,18,906.25,5,20.784313,46.666668,81,-2.34375,0,52,58.823528,51.372547,16.078432,31.764706,19.215687,0,100,0,48,4,113.199997,63.699997,13.75,0,0,8260,0,255,0.758314003677794,0,173.133596863212,1.82446990349646
44,18,906.25,5,20.784313,46.666668,81,-2.34375,0,52,58.823528,52.156864,19.607843,35.294117,20,0,100,0.784314,48,4,113.199997,63.699997,13.75,0,0,8260,0,255,0.758314003677794,1.11111111111111,3605.54100427062,37.9949424450035
45,18,1194.5,9,19.215687,31.764706,81,0,-6.25,30,58.823528,52.156864,19.607843,35.294117,20,0,100,0.784314,48,19,113.199997,63.699997,13.75,0,0,8260,0,255,1.36496520662003,0,315.69851640625,2.52400237059832
46,20,1194.5,9,19.215687,31.764706,81,0,-6.25,30,52.156864,52.156864,19.607843,35.294117,20,0,100,0.784314,48,19,113.199997,63.699997,13.75,0,0,8260,0,255,1.36496520662003,0,315.69851640625,2.52400237059832
47,20,1194.5,9,19.215687,31.764706,81,0,-6.25,30,52.156864,52.941177,16.078432,31.764706,19.215687,0,100,1.568627,48,19,117.699997,63.699997,13.417,0,0,8260,0,255,1.36496520662003,0,315.69851640625,2.52400237059832
48,20,1194.5,9,19.215687,31.764706,81,0,-6.25,30,52.156864,52.941177,16.078432,31.764706,19.215687,0,100,1.568627,48,19,117.699997,63.699997,13.417,0,0,8260,0,255,1.36496520662003,0,315.69851640625,2.52400237059832
49,20,716.25,9,19.215687,51.764706,81,-2.34375,-0.78125,51,52.156864,52.941177,16.078432,31.764706,19.215687,0,100,1.568627,48,7,117.699997,63.699997,13.417,0,0,8260,0,255,1.36496520662003,0,315.69851640625,4.20931355208333
50,21,716.25,9,19.215687,51.764706,81,-2.34375,-0.78125,51,49.411766,52.941177,16.078432,31.764706,19.215687,0,100,1.568627,48,7,117.699997,63.699997,13.417,0,0,8260,0,255,1.36496520662003,0,315.69851640625,4.20931355208333
51,21,716.25,9,19.215687,51.764706,81,-2.34375,-0.78125,51,49.411766,53.333332,20.392157,36.470589,20.784313,0,100,1.568627,48,7,126.399994,63.900002,13.691,0,0,8260,0,255,1.36496520662003,0,315.69851640625,4.20931355208333
52,21,716.25,9,19.215687,54.509804,82,-1.5625,-3.125,51,49.411766,53.333332,20.392157,36.470589,20.784313,0,100,1.568627,48,7,126.399994,63.900002,13.691,0,0,8260,0,255,1.36496520662003,1.11111111111111,6494.03184973959,86.5870913298611
53,23,955.25,13,20,54.509804,82,-1.5625,-3.125,53,49.411766,53.333332,20.392157,36.470589,20.784313,0,100,1.568627,48,14,126.399994,63.900002,13.691,0,0,8260,0,255,1.97161640956226,0,465.220079467807,4.65098325979331
54,23,955.25,13,20,54.509804,82,-1.5625,-3.125,53,47.450981,53.333332,20.392157,36.470589,20.784313,0,100,1.568627,48,14,136.399994,64.199997,13.75,0,0,8260,0,255,1.97161640956226,0,465.220079467807,4.65098325979331
55,23,955.25,13,20,54.509804,82,-1.5625,-3.125,53,47.450981,52.156864,18.82353,34.901962,19.607843,0,100,0.784314,48,14,136.399994,64.199997,13.75,0,0,8260,0,255,1.97161640956226,0.555555555555556,4927.34970909744,49.2606016455175
56,23,1053,15,19.607843,37.64706,82,-0.78125,4.6875,39,47.450981,52.156864,18.82353,34.901962,19.607843,0,100,0.784314,48,7,136.399994,64.199997,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,4.92968463134293
57,25,1053,15,19.607843,37.64706,82,-0.78125,4.6875,39,50.196079,52.156864,18.82353,34.901962,19.607843,0,100,0.784314,48,7,136.399994,64.199997,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,4.92968463134293
58,25,1053,15,19.607843,37.64706,82,-0.78125,4.6875,39,50.196079,52.156864,19.215687,34.901962,19.607843,0,100,0.392157,48,7,146.399994,64.599998,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,4.92968463134293
59,25,1053,15,19.607843,37.64706,82,-0.78125,4.6875,39,50.196079,52.156864,19.215687,34.901962,19.607843,0,100,0.392157,48,7,146.399994,64.599998,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,4.92968463134293
60,25,1036.5,15,19.215687,34.901962,83,-1.5625,0,35,50.196079,52.156864,19.215687,34.901962,19.607843,0,100,0.392157,48,4,146.399994,64.599998,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,5.00816007409948
61,27,1036.5,15,19.215687,34.901962,83,-1.5625,0,35,56.07843,52.156864,19.215687,34.901962,19.607843,0,100,0.392157,48,4,146.399994,64.599998,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,5.00816007409948
62,27,1036.5,15,19.215687,34.901962,83,-1.5625,0,35,56.07843,51.372547,16.078432,31.764706,19.215687,0,100,0,48,4,151.199997,64.800003,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,5.00816007409948
63,27,1036.5,15,19.215687,35.686275,83,-1.5625,3.90625,35,56.07843,51.372547,16.078432,31.764706,19.215687,0,100,0,48,4,151.199997,64.800003,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,5.00816007409948
64,29,1004.5,15,19.215687,35.686275,83,-1.5625,3.90625,35,56.07843,51.372547,16.078432,31.764706,19.215687,0,100,0,48,3,151.199997,64.800003,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,5.16770325216935
65,29,1004.5,15,19.215687,35.686275,83,-1.5625,3.90625,35,52.549019,51.372547,16.078432,31.764706,19.215687,0,100,0,48,3,160.199997,65.199997,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,5.16770325216935
66,29,1004.5,15,19.215687,35.686275,83,-1.5625,3.90625,35,52.549019,51.372547,16.078432,31.764706,19.215687,0,100,0,48,3,160.199997,65.199997,13.75,0,0,8260,0,255,2.27494201103338,-0.277777777777778,0,0
67,29,985,14,19.215687,36.470589,83,-1.5625,1.5625,37,52.549019,51.372547,16.078432,31.764706,19.215687,0,100,0,48,2,160.199997,65.199997,13.75,0,0,8260,0,255,2.12327921029782,0,504.049770966221,4.88698001292123
68,30,985,14,19.215687,36.470589,83,-1.5625,1.5625,37,49.411766,51.372547,16.078432,31.764706,19.215687,0,100,0,48,2,160.199997,65.199997,13.75,0,0,8260,0,255,2.12327921029782,0,504.049770966221,4.88698001292123
69,30,985,14,19.215687,36.470589,83,-1.5625,1.5625,37,49.411766,51.372547,16.078432,31.764706,19.215687,0,100,0,48,2,168.800003,65.699997,13.75,0,0,8260,0,255,2.12327921029782,0,504.049770966221,4.88698001292123
70,30,985,14,19.215687,36.470589,83,-1.5625,1.5625,37,49.411766,51.372547,16.078432,31.764706,19.215687,0,100,0,48,2,168.800003,65.699997,13.75,0,0,8260,0,255,2.12327921029782,0.277777777777778,2906.73495615141,28.182049574869
71,30,966.25,15,19.215687,37.64706,83,-1.5625,4.6875,38,49.411766,51.372547,16.078432,31.764706,19.215687,0,100,0,48,-1,168.800003,65.699997,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,5.37227210018537
72,32,966.25,15,19.215687,37.64706,83,-1.5625,4.6875,38,52.549019,51.372547,16.078432,31.764706,19.215687,0,100,0,48,-1,168.800003,65.699997,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,5.37227210018537
73,32,966.25,15,19.215687,37.64706,83,-1.5625,4.6875,38,52.549019,51.372547,16.078432,31.764706,19.215687,0,100,0,48,-1,176.899994,66.099998,13.73,0,0,8260,0,255,2.27494201103338,0,543.555802806713,5.37227210018537
74,32,966.25,15,19.215687,36.862743,84,-1.5625,0.78125,38,52.549019,51.372547,16.078432,31.764706,19.215687,0,100,0,48,-1,176.899994,66.099998,13.73,0,0,8260,0,255,2.27494201103338,-0.833333333333334,0,0
75,34,976.5,12,19.215687,36.862743,84,-1.5625,0.78125,38,52.549019,51.372547,16.078432,31.764706,19.215687,0,100,0,48,-1,176.899994,66.099998,13.73,0,0,8260,0,255,1.8199536088267,0,427.018418287037,4.1761657907232
76,34,976.5,12,19.215687,36.862743,84,-1.5625,0.78125,38,56.862743,51.372547,16.078432,31.764706,19.215687,0,100,0,48,-1,180.800003,66.400002,13.73,0,0,8260,0,255,1.8199536088267,0,427.018418287037,4.1761657907232
77,34,976.5,12,19.215687,36.862743,84,-1.5625,0.78125,38,56.862743,51.372547,16.078432,31.764706,19.215687,0,100,0,48,-1,180.800003,66.400002,13.73,0,0,8260,0,255,1.8199536088267,0,427.018418287037,4.1761657907232
78,34,979.5,12,19.215687,36.862743,85,-1.5625,2.34375,38,56.862743,51.372547,16.078432,31.764706,19.215687,0,100,0,48,-1,180.800003,66.400002,13.73,0,0,8260,0,255,1.8199536088267,0,427.018418287037,4.16337508386034
79,36,979.5,12,19.215687,36.862743,85,-1.5625,2.34375,38,56.862743,51.372547,16.078432,31.764706,19.215687,0,100,0,48,-1,180.800003,66.400002,13.73,0,0,8260,0,255,1.8199536088267,0,427.018418287037,4.16337508386034
80,36,979.5,12,19.215687,36.862743,85,-1.5625,2.34375,38,64.705879,51.372547,16.078432,31.764706,19.215687,0,100,0,48,-1,188.5,66.900002,13.75,0,0,8260,0,255,1.8199536088267,0,427.018418287037,4.16337508386034
81,36,979.5,12,19.215687,36.862743,85,-1.5625,2.34375,38,64.705879,51.372547,16.078432,31.764706,19.215687,0,100,0,48,-1,188.5,66.900002,13.75,0,0,8260,0,255,1.8199536088267,0,427.018418287037,4.16337508386034
82,36,977.25,12,19.215687,36.862743,85,-1.5625,-0.78125,38,64.705879,51.372547,16.078432,31.764706,19.215687,0,100,0,48,0,188.5,66.900002,13.75,0,0,8260,0,255,1.8199536088267,0,427.018418287037,4.17296075174337
83,38,977.25,12,19.215687,36.862743,85,-1.5625,-0.78125,38,72.15686,51.372547,16.078432,31.764706,19.215687,0,100,0,48,0,188.5,66.900002,13.75,0,0,8260,0,255,1.8199536088267,0,427.018418287037,4.17296075174337
84,38,977.25,12,19.215687,36.862743,85,-1.5625,-0.78125,38,72.15686,51.372547,16.078432,31.764706,19.215687,0,100,0,48,0,195.899994,67.5,13.769,0,0,8260,0,255,1.8199536088267,0,427.018418287037,4.17296075174337
85,38,977.25,12,19.215687,38.431374,85,-1.5625,0.78125,38,72.15686,51.372547,16.078432,31.764706,19.215687,0,100,0,48,0,195.899994,67.5,13.769,0,0,8260,0,255,1.8199536088267,-0.555555555555555,0,0
86,40,783.5,10,19.215687,38.431374,85,-1.5625,0.78125,42,72.15686,51.372547,16.078432,31.764706,19.215687,0,100,0,48,7,195.899994,67.5,13.769,0,0,8260,0,255,1.51662800735559,0,352.305946780693,4.29422053829689
87,40,783.5,10,19.215687,38.431374,85,-1.5625,0.78125,42,66.274513,51.372547,16.078432,31.764706,19.215687,0,100,0,48,7,203.100006,68.099998,13.769,0,0,8260,0,255,1.51662800735559,0,352.305946780693,4.29422053829689
88,40,783.5,10,19.215687,38.431374,85,-1.5625,0.78125,42,66.274513,51.372547,16.078432,31.764706,19.215687,0,100,0,48,7,203.100006,68.099998,13.496,0,0,8260,0,255,1.51662800735559,-0.277777777777778,0,0
89,40,816.25,9,19.215687,45.490196,86,-1.5625,0.78125,45,66.274513,51.372547,16.078432,31.764706,19.215687,0,100,0,48,7,203.100006,68.099998,13.496,0,0,8260,0,255,1.36496520662003,0,315.69851640625,3.69362429608538
90,41,816.25,9,19.215687,45.490196,86,-1.5625,0.78125,45,66.274513,51.372547,16.078432,31.764706,19.215687,0,100,0,48,7,203.100006,68.099998,13.496,0,0,8260,0,255,1.36496520662003,0,315.69851640625,3.69362429608538
91,41,816.25,9,19.215687,45.490196,86,-1.5625,0.78125,45,59.607841,50.196079,20,31.764706,19.215687,0,100,0,48,7,206.5,68.400002,13.808,0,0,8260,0,255,1.36496520662003,0,315.69851640625,3.69362429608538
92,41,816.25,9,19.215687,45.490196,86,-1.5625,0.78125,45,59.607841,50.196079,20,36.07843,18.039215,0,100,0,48,7,206.5,68.400002,13.808,0,0,8260,0,255,1.36496520662003,1.11111111111111,6494.03184973959,75.9791781500925
93,41,968.75,13,17.254902,27.450981,86,0.78125,1.5625,28,59.607841,50.196079,20,36.07843,18.039215,0,100,0,48,16,206.5,68.400002,13.808,0,0,8260,0,255,1.97161640956226,0,465.220079467807,4.58616955759232
94,43,968.75,13,17.254902,27.450981,86,0.78125,1.5625,28,51.764706,50.196079,20,36.07843,18.039215,0,100,0,48,16,206.5,68.400002,13.808,0,0,8260,0,255,1.97161640956226,0,465.220079467807,4.58616955759232
95,43,968.75,13,17.254902,27.450981,86,0.78125,1.5625,28,51.764706,49.019608,19.215687,35.294117,17.254902,0,100,0,48,16,212.800003,69,13.808,0,0,8260,0,255,1.97161640956226,0,465.220079467807,4.58616955759232
96,43,968.75,13,17.254902,24.705883,86,0.78125,-6.25,28,51.764706,49.019608,19.215687,35.294117,17.254902,0,100,0,48,16,212.800003,69,13.808,0,0,8260,0,255,1.97161640956226,0.277777777777778,2696.28489428262,26.5801504417022
97,45,949,14,16.470589,24.705883,86,-1.5625,-6.25,24,51.764706,49.019608,19.215687,35.294117,17.254902,0,100,0,48,12,212.800003,69,13.808,0,0,8260,0,255,2.12327921029782,0,504.049770966221,5.0723659775842
98,45,949,14,16.470589,24.705883,86,-1.5625,-6.25,24,54.901962,49.019608,19.215687,35.294117,17.254902,0,100,0,48,12,218.100006,69.599998,13.808,0,0,8260,0,255,2.12327921029782,0,504.049770966221,5.0723659775842
99,45,949,14,16.470589,24.705883,86,-1.5625,-6.25,24,54.901962,48.235294,16.078432,31.764706,16.470589,0,100,0,48,12,218.100006,69.599998,13.808,0,0,8260,0,255,2.12327921029782,-0.277777777777778,0,0
100,45,775,13,16.470589,25.09804,86,-1.5625,-0.78125,25,54.901962,48.235294,16.078432,31.764706,16.470589,0,100,0,48,7,218.100006,69.599998,13.808,0,0,8260,0,255,1.97161640956226,0,465.220079467807,5.7327119469904
101,47,775,13,16.470589,25.09804,86,-1.5625,-0.78125,25,54.901962,48.235294,16.078432,31.764706,16.470589,0,100,0,48,7,218.100006,69.599998,13.808,0,0,8260,0,255,1.97161640956226,0,465.220079467807,5.7327119469904
102,47,775,13,16.470589,25.09804,86,-1.5625,-0.78125,25,56.862743,48.235294,16.078432,31.764706,16.470589,0,100,0,48,7,222.299988,70.099998,13.75,0,0,8260,0,255,1.97161640956226,0,465.220079467807,5.7327119469904
103,47,775,13,16.470589,25.09804,86,-1.5625,-0.78125,25,56.862743,48.235294,16.078432,31.764706,16.470589,0,100,0,48,7,222.299988,70.099998,13.75,0,0,8260,0,255,1.97161640956226,-0.833333333333333,0,0
104,47,743.75,10,17.647058,30.196079,86,-1.5625,0.78125,31,56.862743,48.235294,16.078432,31.764706,16.470589,0,100,0,49,1,222.299988,70.099998,13.75,0,0,8260,0,255,1.51662800735559,0,352.305946780693,4.52372677883108
105,49,743.75,10,17.647058,30.196079,86,-1.5625,0.78125,31,63.92157,48.235294,16.078432,31.764706,16.470589,0,100,0,49,1,222.299988,70.099998,13.75,0,0,8260,0,255,1.51662800735559,0,352.305946780693,4.52372677883108
106,49,743.75,10,17.647058,30.196079,86,-1.5625,0.78125,31,63.92157,53.333332,20,36.07843,20.392157,0,100,3.921569,49,1,224.200012,70.400002,13.398,0,0,8260,0,255,1.51662800735559,0,352.305946780693,4.52372677883108
107,49,743.75,10,17.647058,48.627453,87,-1.5625,0.78125,31,63.92157,53.333332,20,36.07843,20.392157,0,100,3.921569,49,1,224.200012,70.400002,13.398,0,0,8260,0,255,1.51662800735559,0.555555555555555,3784.7133541881,48.5969916403312
108,50,967.75,12,19.607843,48.627453,87,-2.34375,-1.5625,46,63.92157,53.333332,20,36.07843,20.392157,0,100,3.921569,49,14,224.200012,70.400002,13.398,0,0,8260,0,255,1.8199536088267,0,427.018418287037,4.21392497508778
109,50,967.75,12,19.607843,48.627453,87,-2.34375,-1.5625,46,58.431374,53.333332,20,36.07843,20.392157,0,100,3.921569,49,14,229.399994,71.099998,13.398,0,0,8260,0,255,1.8199536088267,0,427.018418287037,4.21392497508778
110,50,967.75,12,19.607843,48.627453,87,-2.34375,-1.5625,46,58.431374,51.372547,16.078432,31.764706,19.215687,0,100,0,49,14,229.399994,71.099998,13.75,0,0,8260,0,255,1.8199536088267,0.833333333333334,6605.35175162037,65.1832696749931
111,50,978,15,19.607843,36.862743,87,-1.5625,-0.78125,37,58.431374,51.372547,16.078432,31.764706,19.215687,0,100,0,49,0,229.399994,71.099998,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,5.30772793129255
112,52,978,15,19.215687,36.862743,87,-1.5625,-0.78125,37,58.431374,51.372547,16.078432,31.764706,19.215687,0,100,0,48,0,229.399994,71.099998,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,5.30772793129255
113,52,978,15,19.215687,36.862743,87,-1.5625,-0.78125,37,60.392159,51.372547,16.078432,31.764706,19.215687,0,100,0,48,0,234.899994,71.900002,13.75,0,0,8260,0,255,2.27494201103338,0,543.555802806713,5.30772793129255
114,52,978,15,19.215687,36.862743,87,-1.5625,-0.78125,37,60.392159,51.372547,16.078432,31.764706,19.215687,0,100,0,48,0,234.899994,71.900002,13.75,0,0,8260,0,255,2.27494201103338,-0.555555555555556,0,0
